iter	Passed	Remaining
0	46	46227
1	46	23277
2	46	15604
3	47	11770
4	47	9492
5	47	7949
6	48	6847
7	48	6020
8	48	5380
9	49	4867
10	49	4445
11	49	4094
12	50	3798
13	50	3547
14	50	3326
15	50	3131
16	51	2960
17	51	2807
18	51	2671
19	51	2547
20	52	2436
21	52	2334
22	52	2242
23	53	2157
24	53	2084
25	53	2012
26	54	1947
27	54	1885
28	54	1829
29	54	1777
30	55	1728
31	55	1681
32	55	1637
33	56	1596
34	56	1560
35	56	1524
36	57	1489
37	57	1456
38	57	1424
39	58	1394
40	58	1365
41	58	1338
42	58	1311
43	59	1286
44	59	1262
45	59	1239
46	60	1217
47	60	1197
48	60	1177
49	60	1157
50	61	1138
51	61	1120
52	61	1103
53	62	1086
54	62	1071
55	62	1059
56	63	1049
57	63	1034
58	64	1021
59	64	1007
60	64	995
61	65	985
62	65	975
63	65	964
64	66	953
65	66	944
66	67	933
67	67	923
68	67	916
69	68	906
70	68	898
71	69	889
72	69	885
73	70	877
74	70	869
75	70	862
76	71	856
77	71	851
78	72	842
79	72	836
80	73	830
81	73	824
82	73	817
83	74	809
84	74	803
85	74	796
86	75	788
87	75	782
88	75	776
89	76	773
90	76	768
91	77	762
92	77	756
93	77	751
94	78	746
95	78	742
96	79	737
97	79	732
98	80	728
99	80	722
100	80	716
101	80	712
102	81	707
103	81	704
104	82	701
105	82	699
106	83	695
107	83	691
108	83	686
109	84	682
110	84	679
111	85	676
112	85	672
113	85	668
114	86	664
115	86	659
116	87	656
117	87	652
118	87	648
119	87	644
120	88	640
121	88	636
122	88	631
123	88	627
124	89	625
125	89	622
126	90	618
127	90	614
128	90	612
129	91	609
130	91	606
131	91	602
132	92	599
133	92	597
134	92	594
135	93	592
136	93	589
137	93	586
138	94	584
139	94	582
140	95	580
141	95	577
142	95	573
143	96	572
144	96	569
145	96	566
146	97	565
147	97	563
148	98	561
149	98	559
150	99	557
151	99	555
152	99	553
153	100	550
154	100	548
155	100	546
156	101	544
157	101	542
158	102	540
159	102	537
160	102	536
161	103	533
162	103	531
163	103	529
164	104	527
165	104	525
166	105	524
167	105	523
168	106	522
169	106	520
170	107	518
171	107	517
172	107	515
173	108	514
174	108	512
175	109	510
176	109	508
177	109	506
178	110	505
179	110	503
180	110	500
181	111	499
182	111	498
183	112	497
184	112	495
185	112	493
186	113	492
