iter	Passed	Remaining
0	0	510
1	1	598
2	1	608
3	2	624
4	3	636
5	3	642
6	4	627
7	5	628
8	5	621
9	6	614
10	6	603
11	7	599
12	7	598
13	8	594
14	9	592
15	9	588
16	10	584
17	10	582
18	11	578
19	11	574
20	12	573
21	12	570
22	13	573
23	14	571
24	14	569
25	15	568
26	15	564
27	16	561
28	16	558
29	17	556
30	17	554
31	18	551
32	18	548
33	19	544
34	19	541
35	20	537
36	20	534
37	21	532
38	21	529
39	22	528
40	22	525
41	22	523
42	23	523
43	23	521
44	24	519
45	25	520
46	25	520
47	26	522
48	27	525
49	27	525
50	28	523
51	28	522
52	29	520
53	29	520
54	30	521
55	30	520
56	31	518
57	31	517
58	32	515
59	32	514
60	33	513
61	33	511
62	34	510
63	34	508
64	35	507
65	35	505
66	36	504
67	36	503
68	37	503
69	37	502
70	38	500
71	38	499
72	39	498
73	39	497
74	40	496
75	40	495
76	41	494
77	41	494
78	42	493
79	42	492
80	43	491
81	43	492
82	44	489
83	44	489
84	45	488
85	45	487
86	46	486
87	46	485
88	47	485
89	47	483
90	48	482
91	48	481
92	49	480
93	49	479
94	50	479
95	50	478
96	51	477
97	52	478
98	52	478
99	53	477
100	53	476
101	54	476
102	54	475
103	55	474
104	55	473
105	56	472
106	56	472
107	57	472
108	57	471
109	58	470
110	58	469
111	59	468
112	59	467
113	60	466
114	60	465
115	60	464
116	61	463
117	61	462
118	62	461
119	62	460
120	63	459
121	63	458
122	64	457
123	64	457
124	65	456
125	65	455
126	66	454
127	66	453
128	67	453
129	67	452
130	68	452
131	68	451
132	69	450
133	69	449
134	70	449
135	70	448
136	71	447
137	71	446
138	72	446
139	72	445
140	72	444
141	73	443
142	73	442
143	74	441
144	74	440
145	75	439
146	75	439
147	76	438
148	76	437
149	77	436
150	77	436
151	77	434
152	78	434
153	79	434
154	79	434
155	80	434
156	80	434
157	81	434
158	82	434
159	82	433
160	82	432
161	83	431
162	84	431
163	84	430
164	84	429
165	85	428
166	85	428
167	86	427
168	86	427
169	87	426
170	87	426
171	88	425
172	88	425
173	89	424
174	89	423
175	90	423
176	90	422
177	91	422
178	91	421
179	92	421
180	92	420
181	93	419
182	93	418
183	94	417
184	94	417
185	95	416
186	95	416
187	96	415
188	96	414
189	97	414
190	97	413
191	98	413
192	98	412
193	99	412
194	99	410
195	99	409
196	100	409
197	100	408
198	101	407
199	101	407
200	102	405
201	102	405
202	103	404
203	103	403
204	104	403
205	104	402
206	104	402
207	105	401
